0;;
0;0,928;0,824
1;0,922;0,82
2;0,913;0,889
3;0,926;0,943
4;0,918;0,757
5;0,882;0,912
6;0,919;0,797
7;0,913;0,835
8;0,929;0,933
9;0,919;0,911
10;0,929;0,94
11;0,929;0,918
12;0,912;0,753
13;0,921;0,799
14;0,908;0,819
15;0,923;0,872
16;0,907;0,944
17;0,908;0,693
18;0,951;0,863
19;0,868;0,881
20;0,855;0,907
21;0,927;0,887
22;0,919;0,94
23;0,912;0,881
24;0,939;0,881
25;0,918;0,925
26;0,92;0,884
27;0,921;0,859
28;0,816;0,614
29;0,85;0,851
30;0,921;0,793
31;0,919;0,849
32;0,923;0,931
33;0,872;0,672
34;0,937;0,892
35;0,928;0,74
36;0,924;0,889
37;0,921;0,854
38;0,923;0,949
39;0,898;0,84
40;0,896;0,833
41;0,942;0,908
42;0,947;0,878
43;0,867;0,812
44;0,922;0,771
45;0,924;0,927
46;0,866;0,835
47;0,883;0,898
48;0,892;0,908
49;0,891;0,731
50;0,833;0,616
51;0,899;0,687
52;0,928;0,869
53;0,934;0,872
54;0,926;0,734
55;0,77;0,618
56;0,911;0,863
57;0,908;0,896
58;0,938;0,93
59;0,64;0,511
60;0,932;0,884
61;0,897;0,734
62;0,916;0,76
63;0,858;0,854
64;0,833;0,622
65;0,921;0,793
66;0,938;0,942
67;0,848;0,826
68;0,873;0,93
69;0,885;0,88
70;0,926;0,932
71;0,936;0,93
72;0,917;0,852
73;0,909;0,827
74;0,943;0,811
75;0,912;0,913
76;0,884;0,643
77;0,764;0,615
78;0,941;0,771
79;0,839;0,616
80;0,936;0,921
81;0,88;0,906
82;0,917;0,909
83;0,909;0,855
84;0,906;0,84
85;0,891;0,807
86;0,845;0,616
87;0,943;0,932
88;0,911;0,7
89;0,931;0,945
90;0,927;0,854
91;0,916;0,707
92;0,92;0,912
93;0,888;0,738
94;0,923;0,878
95;0,943;0,772
96;0,901;0,888
97;0,936;0,872
98;0,928;0,842
99;0,883;0,665
100;0,846;0,828
101;0,95;0,921
102;0,914;0,814
103;0,92;0,941
104;0,947;0,902
105;0,918;0,936
106;0,877;0,742
107;0,934;0,946
108;0,95;0,94
109;0,917;0,938
110;0,835;0,818
111;0,917;0,755
112;0,868;0,817
113;0,94;0,885
114;0,923;0,873
115;0,94;0,78
116;0,919;0,908
117;0,898;0,656
118;0,913;0,94
119;0,914;0,946
120;0,884;0,93
121;0,925;0,878
122;0,929;0,801
123;0,884;0,829
124;0,842;0,616
125;0,919;0,925
126;0,916;0,71
127;0,921;0,709
128;0,935;0,953
129;0,927;0,914
130;0,893;0,821
131;0,902;0,886
132;0,87;0,897
133;0,912;0,725
134;0,907;0,882
135;0,934;0,947
136;0,895;0,821
137;0,863;0,817
138;0,911;0,776
139;0,909;0,788
140;0,944;0,886
141;0,909;0,838
142;0,936;0,904
143;0,881;0,727
144;0,917;0,944
145;0,928;0,943
146;0,936;0,896
147;0,939;0,773
148;0,946;0,868
149;0,884;0,859
150;0,869;0,927
151;0,929;0,882
152;0,918;0,877
153;0,928;0,894
154;0,901;0,907
155;0,945;0,953
156;0,951;0,942
157;0,655;0,512
158;0,914;0,806
159;0,922;0,906
160;0,908;0,936
161;0,906;0,903
162;0,91;0,813
163;0,923;0,942
164;0,918;0,842
165;0,897;0,936
166;0,931;0,733
167;0,91;0,888
168;0,93;0,914
169;0,905;0,883
170;0,945;0,906
171;0,898;0,876
172;0,919;0,935
173;0,926;0,881
174;0,931;0,936
175;0,928;0,909
176;0,937;0,866
177;0,914;0,778
178;0,941;0,939
179;0,908;0,795
180;0,945;0,956
181;0,899;0,82
182;0,938;0,954
183;0,902;0,874
184;0,921;0,913
185;0,913;0,745
186;0,92;0,924
187;0,922;0,856
188;0,936;0,906
189;0,881;0,929
190;0,917;0,725
191;0,924;0,928
192;0,919;0,829
193;0,907;0,788
194;0,89;0,807
max;0.00;
